game_id,game_name,platform,genre,cost,price,release_date,active
G0058,Lunar Frontier,Switch,Indie,131.34,231.17,2023-11-26,No
G0059,Ghost Empire,PC,Estratégia,107.32,200.65,2018-10-04,Yes
G0060,Storm Empire,Xbox,Aventura,150.98,216.3,2015-07-09,Yes
G0061,Nova Horizon,PC,Indie,92.17,172.06,2017-03-07,Yes
G0062,Frost Frontier,Switch,Aventura,52.14,100.05,2025-01-04,Yes
G0063,Cyber Saga,Switch,Aventura,56.38,121.9,2020-10-22,Yes
G0064,Storm Protocol,PC,Indie,50.0,85.91,2020-12-15,No
G0065,Lunar Saga,Switch,Terror,154.59,277.19,2025-01-22,Yes
G0066,Nova Frontier,Xbox,Aventura,155.98,241.7,2023-09-21,Yes
G0067,Storm Rising,Switch,RPG,137.03,207.06,2018-10-07,Yes
G0068,Dragon Reborn,PlayStation,Aventura,87.46,125.73,2017-05-26,Yes
G0069,Ember Chronicles,Switch,Terror,39.34,80.63,2019-05-15,No
G0070,Shadow Protocol,Switch,Indie,30.88,49.92,2023-06-14,Yes
G0071,Ember Requiem,PlayStation,Indie,62.91,106.46,2015-04-29,Yes
G0072,Frost Uprising,PlayStation,Indie,167.93,366.53,2020-12-27,Yes
G0073,Frost Horizon,PC,RPG,126.41,179.77,2020-03-06,Yes
G0074,Crimson Arena,Xbox,Aventura,98.2,157.49,2024-11-12,Yes
G0075,Ember Rising,PC,Indie,32.91,58.76,2025-09-04,Yes
G0076,Dragon Saga,PC,Ação,172.44,255.11,2015-03-25,Yes
G0077,Storm Reborn,Switch,RPG,114.6,171.46,2022-11-05,Yes
G0078,Rogue Reborn,PC,Esporte,174.71,244.12,2015-04-16,No
G0079,Frost Arena,PlayStation,RPG,118.81,243.27,2017-09-21,Yes
G0080,Solar Protocol,PC,Ação,82.08,138.35,2019-02-26,Yes
